Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
BDOUY,"BDO Unibank, Inc.",23.99,+0.99,+4.30%,"73,468","4,797",10.895B,19.50,
MOMO,Momo Inc.,13.43,+0.55,+4.27%,4.336M,3.8M,2.803B,6.58,
ZLNDY,Zalando SE,52.34,+2.14,+4.26%,"19,222","8,204",25.992B,386.27,
ESTC,Elastic N.V.,143.49,+5.81,+4.22%,"763,179","968,664",12.542B,N/A,
TGTX,"TG Therapeutics, Inc.",53.31,+2.14,+4.18%,4.42M,2.07M,7.01B,N/A,
EGIEY,Engie Brasil Energia S.A.,8.97,+0.36,+4.18%,"20,882","74,840",7.418B,12.32,
CMG,"Chipotle Mexican Grill, Inc.","1,400.62",+54.16,+4.02%,"683,756","340,039",39.19B,167.50,
BLI,"Berkeley Lights, Inc.",87.04,+3.47,+4.15%,"221,037","240,900",5.603B,N/A,
BAYRY,Bayer Aktiengesellschaft,15.02,+0.60,+4.15%,"698,068","780,117",58.573B,8.14,
ZLAB,Zai Lab Limited,117.58,+4.66,+4.13%,"412,890","400,145",9.92B,N/A,
AFTPY,Afterpay Limited,87.81,+3.47,+4.12%,"188,971","12,980",23.096B,N/A,
DADA,Dada Nexus Limited,38.51,+1.49,+4.02%,2.633M,1.955M,8.996B,N/A,
RTMVY,Rightmove plc,17.84,+0.69,+4.02%,"23,541","48,229",7.636B,40.55,
OZON,Ozon Holdings PLC,46.12,+1.77,+3.99%,1.202M,2.078M,9.396B,N/A,
SHCAY,Sharp Corporation,3.5660,+0.1360,+3.97%,"20,918","24,226",7.754B,12.56,
PYPL,"PayPal Holdings, Inc.",230.20,+8.60,+3.88%,10.11M,9.314M,269.723B,86.87,
MAT,"Mattel, Inc.",17.84,+0.66,+3.84%,5.096M,4.588M,6.209B,N/A,
TSCDY,Tesco PLC,9.50,+0.35,+3.83%,"135,605","198,414",30.329B,21.54,
WING,Wingstop Inc.,137.11,+5.04,+3.82%,"510,350","608,621",4.07B,124.53,
FCEL,"FuelCell Energy, Inc.",8.45,+0.31,+3.81%,28.929M,49.255M,2.724B,N/A,
FTCH,Farfetch Limited,60.91,+2.21,+3.76%,5.02M,6.007M,20.702B,N/A,
DPSGY,Deutsche Post AG,49.89,+1.81,+3.76%,"49,428","100,598",61.649B,25.82,
IGT,International Game Technology PLC,15.84,+0.58,+3.80%,2.499M,2.724M,3.245B,N/A,
SAGE,"Sage Therapeutics, Inc.",74.52,+2.65,+3.69%,"628,435","711,026",3.878B,N/A,
DNB,"Dun & Bradstreet Holdings, Inc.",26.97,+0.97,+3.73%,1.137M,1.047M,11.409B,N/A,
